track_id,danceability,duration_ms,instrumentalness,loudness,tempo,time_signature
118GQ70Sp6pMqn6w1oKuki,0.787,124016.0,0.784,-10.457,119.988,4.0
6S7cr72a7a8RVAXzDCRj6m,0.777,128016.0,0.812,-12.181,119.979,4.0
7h2qWpMJzIVtiP30E8VDW4,0.795999999999999,132742.0,0.919,-8.86,123.973,4.0
3KVQFxJ5CWOcbxdpPYdi4o,0.815,134769.0,0.938,-10.6659999999999,122.001,4.0
0JjNrI1xmsTfhaiU1R6OVc,0.799,124016.0,0.915,-9.83,120.079,4.0
3HjTcZt29JUHg5m60QhlMw,0.812,134769.0,0.914,-11.5979999999999,121.994,4.0
42LWRdkWxM9aWmDImWvH6C,0.810999999999999,124016.0,0.929,-10.885,120.007,4.0
32dMH9MvlTJaABrPHY52Yb,0.746,127727.0,0.966,-16.615,124.032,4.0
5RCPsfzmEpTXMCTNk7wEfQ,0.813,134769.0,0.890999999999999,-11.058,122.01,4.0
0y0mwXrdEzjUK5Nq8GDPnY,0.812,124016.0,0.944,-11.0059999999999,120.014,4.0
3RSMqu36JZnmMkrnNmnqyd,0.814,134769.0,0.738,-8.98,122.011,4.0
1o0fkWCltFHVeFIRHqvR5b,0.813,134769.0,0.927,-11.562,121.984,4.0
2iGShSeV6WcDbez5SLJ2bJ,0.81,124016.0,0.932,-9.894,120.036,4.0
2rNTo0tGUMW6rn0uHzV5er,0.805999999999999,128016.0,0.895999999999999,-10.057,120.017999999999,4.0
5Egkx8edirN0pR2R58C2ME,0.812,125381.0,0.917,-9.331,123.014,4.0
67r3lnzstENsRYlZWq6DYP,0.802,131016.0,0.915,-7.382,119.988999999999,4.0
4X8W9SSu9D5MujoxwIwqw6,0.822,132742.0,0.774,-8.783,123.972,4.0
4lncSzeN8WOH2iHEO593iZ,0.809,124016.0,0.937,-10.081,119.99,4.0
1L67mcddFQ65MfA3wO3MHV,0.805999999999999,124016.0,0.938,-10.788,119.985,4.0
21DU83QG4jB4mQKh76X32h,0.812,125381.0,0.897,-9.312,123.042,4.0
08nyEVO684j7pcTAhEY2zJ,0.81,148016.0,0.917,-9.391,120.022,4.0
4LMVmlX8WXPu8OyPwzkNpR,0.813,125381.0,0.89,-9.564,123.025,4.0
7JYCpIzpoidDOnnmxmHwtj,0.759,124016.0,0.802,-12.001,119.901,4.0
0mmFibEg5NuULMwTVN2tRU,0.81,148016.0,0.894,-9.367,119.988,4.0
