contributors,coordinates,created_at,display_text_range,extended_entities,extended_tweet,extended_tweet-full_text,favorite_count,favorited,filter_level,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quote_count,quoted_status-extended_tweet-full_text,quoted_status-text,quoted_status-user-screen_name,quoted_status_id,quoted_status_id_str,reply_count,retweet_count,retweeted,source,text,timestamp_ms,truncated,user-screen_name
,,Wed Jan 31 00:21:22 +0000 2018,"[34, 140]",,"{'full_text': '@LouDobbs @realDonaldTrump @POTUS Discourage illegal #border crossings by rewarding illegal  #bordercrossings? #newnorm? → #Buildthewall #EndChainMigration   #endvisalottery FIRST, #DACA LAST #NoAmnesty #nocitizenship  https://t.co/XX6VtsQ4Sg #SOTU', 'display_text_range': [34, 248], 'entities': {'hashtags': [{'text': 'border', 'indices': [53, 60]}, {'text': 'bordercrossings', 'indices': [93, 109]}, {'text': 'newnorm', 'indices': [111, 119]}, {'text': 'Buildthewall', 'indices': [123, 136]}, {'text': 'EndChainMigration', 'indices': [137, 155]}, {'text': 'endvisalottery', 'indices': [158, 173]}, {'text': 'DACA', 'indices': [181, 186]}, {'text': 'NoAmnesty', 'indices': [192, 202]}, {'text': 'nocitizenship', 'indices': [203, 217]}, {'text': 'SOTU', 'indices': [243, 248]}], 'urls': [{'url': 'https://t.co/XX6VtsQ4Sg', 'expanded_url': 'https://twitter.com/ProfessorRobo/status/957701457473613824', 'display_url': 'twitter.com/ProfessorRobo/…', 'indices': [219, 242]}], 'user_mentions': [{'screen_name': 'LouDobbs', 'name': 'Lou Dobbs', 'id': 26487169, 'id_str': '26487169', 'indices': [0, 9]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [10, 26]}, {'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [27, 33]}], 'symbols': []}}","@LouDobbs @realDonaldTrump @POTUS Discourage illegal #border crossings by rewarding illegal  #bordercrossings? #newnorm? → #Buildthewall #EndChainMigration   #endvisalottery FIRST, #DACA LAST #NoAmnesty #nocitizenship  https://t.co/XX6VtsQ4Sg #SOTU",0,False,low,,958495386506813440,958495386506813440,ProfessorRobo,9.58494441131692e+17,958494441131692032,204355964,204355964,True,en,,False,0,"‘We saw what happened during the #Reagan Administration when we put the cart before the horse’ #NoAmnesty #nocitizenship #norighttovote #Buildthewall #EndChainMigration #endvisalottery FIRST, #DACA LAST",‘We saw what happened during the #Reagan Administration when we put the cart before the horse’ #NoAmnesty… https://t.co/Hgh7mIAWut,ProfessorRobo,9.577014574736138e+17,957701457473613824,0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@LouDobbs @realDonaldTrump @POTUS Discourage illegal #border crossings by rewarding illegal  #bordercrossings?… https://t.co/G0UkyFl2SP,1517358082783,True,ProfessorRobo
,,Wed Jan 31 02:42:15 +0000 2018,"[0, 14]",,,,0,False,low,,958530840153137152,958530840153137152,ChristianMohn,,,29302128,29302128,True,und,,False,0,,"Can't even watch this vile, deceitful fraud and his bizarre cult of self-interested sycophants. #SOTU #Click",jfreewright,9.585300088379679e+17,958530008837967872,0,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ChristianMohn https://t.co/WUP9k7DHrm,1517366535591,False,BethMohn
,,Tue Jan 30 19:19:49 +0000 2018,"[17, 140]",,"{'full_text': '@LarrySchweikart People stay home to avoid #FalseFlag Sleeper Cell terrorists when #FISAabuse memo is released. #ReleaseTheMemo #Qanon #TheGreatAwakening  #Sotu', 'display_text_range': [17, 160], 'entities': {'hashtags': [{'text': 'FalseFlag', 'indices': [43, 53]}, {'text': 'FISAabuse', 'indices': [83, 93]}, {'text': 'ReleaseTheMemo', 'indices': [112, 127]}, {'text': 'Qanon', 'indices': [128, 134]}, {'text': 'TheGreatAwakening', 'indices': [135, 153]}, {'text': 'Sotu', 'indices': [155, 160]}], 'urls': [], 'user_mentions': [{'screen_name': 'LarrySchweikart', 'name': 'Larry Schweikart', 'id': 562255311, 'id_str': '562255311', 'indices': [0, 16]}], 'symbols': []}}",@LarrySchweikart People stay home to avoid #FalseFlag Sleeper Cell terrorists when #FISAabuse memo is released. #ReleaseTheMemo #Qanon #TheGreatAwakening  #Sotu,0,False,low,,958419496154386433,958419496154386433,LarrySchweikart,9.584123176868659e+17,958412317686865920,562255311,562255311,False,en,,,0,,,,,,0,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@LarrySchweikart People stay home to avoid #FalseFlag Sleeper Cell terrorists when #FISAabuse memo is released.… https://t.co/KHotrUQwkN,1517339989113,True,ASilNY
,,Tue Jan 30 23:46:17 +0000 2018,"[12, 35]",,,,0,False,low,,958486556397981696,958486556397981696,WhiteHouse,9.58486492527104e+17,958486492527104000,822215673812119553,822215673812119553,True,und,,False,0,,"Will you be watching tonight's SOTU? 
#SOTU #StateOfTheUnion 
@realDonaldTrump @TheNewTreasury",71RepublicMedia,9.584820979619471e+17,958482097961947139,0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@WhiteHouse https://t.co/WgZvh2L6aT,1517355977521,False,mattg444
,,Tue Jan 30 22:21:52 +0000 2018,"[10, 60]",,,,0,False,low,,958465310876676096,958465310876676096,aravosis,9.584645476349829e+17,958464547634982913,14146966,14146966,False,en,,,0,,,,,,0,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@aravosis I'm telling you he's practicing TelePrompTer #SOTU,1517350912194,False,hlthiskrieger
,,Wed Jan 31 02:40:03 +0000 2018,"[16, 70]",,,,0,False,low,,958530286773592065,958530286773592065,SenJeffMerkley,9.585283959644856e+17,958528395964485632,29201047,29201047,False,en,,,0,,,,,,0,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SenJeffMerkley Must be smoking some of that legal weed Senator. #SOTU,1517366403655,False,Herky86
,,Tue Jan 30 15:31:03 +0000 2018,"[12, 17]",,,,0,False,low,,958361927888982021,958361927888982021,TwitterGov,9.565136002224415e+17,956513600222441472,222953824,222953824,False,und,,,0,,,,,,0,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@TwitterGov #SOTU,1517326263769,False,PatrickParsons9
,,Tue Jan 30 22:25:56 +0000 2018,,,,,0,False,low,,958466334676979712,958466334676979712,CFR_org,9.58454836743295e+17,958454836743294977,17469492,17469492,False,en,,False,0,,,,,,0,0,False,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","“@CFR_org: Ahead of his first #SOTU, find out what Trump gets right and wrong on sovereignty: https://t.co/rZIBlHXW1N by @StewartMPatrick”",1517351156287,False,New_Narrative
,,Wed Jan 31 00:03:45 +0000 2018,"[0, 80]",,,,0,False,low,,958490950208143360,958490950208143360,roywoodjr,,,41761325,41761325,True,en,,False,0,"FOR IMMEDIATE RELEASE: Correspondent @RoyWoodJr to deliver ""State of Black Shit"" response to President Trump’s #SOTU tonight at 11/10c LIVE on Comedy Central. https://t.co/tAUbhOqWQT","FOR IMMEDIATE RELEASE: Correspondent @RoyWoodJr to deliver ""State of Black Shit"" response to President Trump’s… https://t.co/f7eBshbdBo",TheDailyShow,9.584464603239752e+17,958446460323975168,0,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@RoyWoodJr to deliver ""State of Black Shit"" Response to President Trump’s #SOTU🤔 https://t.co/jbpUMXFFJ4",1517357025087,False,dddlor
,,Tue Jan 30 16:00:35 +0000 2018,"[16, 116]",,,,0,False,low,,958369358115418112,958369358115418112,michaelscherer,9.58368990367187e+17,958368990367186944,17910554,17910554,False,en,,,0,,,,,,0,0,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",@michaelscherer Any Dem who attends this #SOTU deserves to be PRIMARIED. ANY. ANY. ANY. Give Trump #TheFullGinsburg.,1517328035273,False,scrivener50
